date,total_cases
2020-10-14,8023281
2020-10-15,8086579
2020-10-16,8156079
2020-10-17,8211038
2020-10-18,8260363
2020-10-19,8322203
2020-10-20,8381190
2020-10-21,8451115
2020-10-22,8526300
2020-10-23,8609335
2020-10-24,8685973
2020-10-25,8752019
2020-10-26,8821743
2020-10-27,8897502
2020-10-28,8982535
2020-10-29,9074112
2020-10-30,9172053
2020-10-31,9265797
2020-11-01,9407754
2020-11-02,9495017
2020-11-03,9594021
2020-11-04,9708798
2020-11-05,9832345
2020-11-06,9966278
2020-11-07,10096592
2020-11-08,10208524
2020-11-09,10333679
2020-11-10,10481266
2020-11-11,10635595
2020-11-12,10798791
2020-11-13,10976628
2020-11-14,11141429
2020-11-15,11279564
2020-11-16,11433313
2020-11-17,11601193
2020-11-18,11773033
2020-11-19,11962796
2020-11-20,12157888
2020-11-21,12332579
2020-11-22,12482719
2020-11-23,12643344
2020-11-24,12819023
2020-11-25,13014882
2020-11-26,13160885
2020-11-27,13325086
2020-11-28,13470466
2020-11-29,13612435
2020-11-30,13764775
2020-12-01,13957932
2020-12-02,14168572
2020-12-03,14386261
2020-12-04,14611297
2020-12-05,14817815
2020-12-06,14995526
2020-12-07,15179338
2020-12-08,15406830
2020-12-09,15629799
2020-12-10,15839400
2020-12-11,16086077
2020-12-12,16303771
2020-12-13,16485525
2020-12-14,16684021
2020-12-15,16883763
2020-12-16,17125540
2020-12-17,17373237
2020-12-18,17610247
2020-12-19,17812966
2020-12-20,18000425
2020-12-21,18184604
2020-12-22,18382708
2020-12-23,18609547
2020-12-24,18813150
2020-12-25,18975359
2020-12-26,19122852
2020-12-27,19279082
2020-12-28,19455982
2020-12-29,19665325
2020-12-30,19901912
2020-12-31,20132213
2021-01-01,20361010
2021-01-02,20586950
2021-01-03,20792850
2021-01-04,20967469
2021-01-05,21210231
2021-01-06,21469766
2021-01-07,21740117
2021-01-08,22032675
2021-01-09,22289329
2021-01-10,22514817
2021-01-11,22719197
2021-01-12,22937185
2021-01-13,23164753
2021-01-14,23388904
2021-01-15,23627047
2021-01-16,23837135
2021-01-17,24024161
2021-01-18,24178555
2021-01-19,24329034
2021-01-20,24517835
2021-01-21,24706313
2021-01-22,24896722
2021-01-23,25062797
2021-01-24,25204826
2021-01-25,25340620
2021-01-26,25486878
2021-01-27,25646319
2021-01-28,25803577
2021-01-29,25968042
2021-01-30,26107481
2021-01-31,26219724
2021-02-01,26348901
2021-02-02,26470568
2021-02-03,26579328
2021-02-04,26702264
2021-02-05,26827567
2021-02-06,26938064
2021-02-07,27031252
2021-02-08,27112096
2021-02-09,27203671
2021-02-10,27302331
2021-02-11,27402293
2021-02-12,27500009
2021-02-13,27585448
2021-02-14,27653254
2021-02-15,27711438
2021-02-16,27768389
2021-02-17,27832316
2021-02-18,27901114
2021-02-19,27974958
2021-02-20,28040639
2021-02-21,28097513
2021-02-22,28153397
2021-02-23,28223662
2021-02-24,28296304
2021-02-25,28368512
2021-02-26,28442053
2021-02-27,28510649
2021-02-28,28563364
2021-03-01,28614533
2021-03-02,28668451
2021-03-03,28734710
2021-03-04,28799853
2021-03-05,28864306
2021-03-06,28922207
2021-03-07,28966101
2021-03-08,29008888
2021-03-09,29063051
2021-03-10,29125180
2021-03-11,29185113
2021-03-12,29249579
2021-03-13,29302065
2021-03-14,29349524
2021-03-15,29393130
2021-03-16,29445009
2021-03-17,29504982
2021-03-18,29568317
2021-03-19,29630696
2021-03-20,29689457
2021-03-21,29734942
2021-03-22,29783324
2021-03-23,29841127
2021-03-24,29909419
2021-03-25,29975197
2021-03-26,30050304
2021-03-27,30114136
2021-03-28,30167842
2021-03-29,30226028
2021-03-30,30288175
2021-03-31,30358247
2021-04-01,30432739
2021-04-02,30503827
2021-04-03,30567949
2021-04-04,30613878
2021-04-05,30670490
2021-04-06,30734606
2021-04-07,30810310
2021-04-08,30887179
2021-04-09,30964590
2021-04-10,31033806
2021-04-11,31088137
2021-04-12,31149578
2021-04-13,31222244
2021-04-14,31294015
2021-04-15,31367134
2021-04-16,31439316
2021-04-17,31517843
2021-04-18,31568266
2021-04-19,31604085
2021-04-20,31661924
2021-04-21,31726163
2021-04-22,31788721
2021-04-23,31852144
2021-04-24,31904568
2021-04-25,31946237
2021-04-26,31976771
2021-04-27,32027373
2021-04-28,32082572
2021-04-29,32138759
2021-04-30,32194694
2021-05-01,32243532
2021-05-02,32280582
2021-05-03,32313751
2021-05-04,32356464
2021-05-05,32401549
2021-05-06,32444785
2021-05-07,32489835
2021-05-08,32527143
2021-05-09,32554868
2021-05-10,32579313
2021-05-11,32612512
2021-05-12,32648620
2021-05-13,32689304
2021-05-14,32724666
2021-05-15,32754821
2021-05-16,32776349
2021-05-17,32795840
2021-05-18,32823588
2021-05-19,32851301
2021-05-20,32879508
2021-05-21,32907542
2021-05-22,32930017
2021-05-23,32946144
2021-05-24,32960952
2021-05-25,32985664
2021-05-26,33009343
2021-05-27,33031472
2021-05-28,33056364
2021-05-29,33072111
2021-05-30,33084535
2021-05-31,33093968
2021-06-01,33102962
2021-06-02,33119163
2021-06-03,33137429
2021-06-04,33156101
2021-06-05,33170928
2021-06-06,33182087
2021-06-07,33192004
2021-06-08,33206383
2021-06-09,33226135
2021-06-10,33242158
2021-06-11,33256190
2021-06-12,33268614
2021-06-13,33277382
2021-06-14,33285684
2021-06-15,33298356
2021-06-16,33311687
2021-06-17,33325268
2021-06-18,33337297
2021-06-19,33349702
2021-06-20,33358789
2021-06-21,33367382
2021-06-22,33380731
2021-06-23,33394652
2021-06-24,33410290
2021-06-25,33425317
2021-06-26,33438676
2021-06-27,33449377
2021-06-28,33459827
2021-06-29,33475389
2021-06-30,33487126
2021-07-01,33505799
2021-07-02,33522757
2021-07-03,33536036
2021-07-04,33546606
2021-07-05,33555773
2021-07-06,33575780
2021-07-07,33598543
2021-07-08,33782218
2021-07-09,33809915
2021-07-10,33830963
