Year,Private Total Number,Employment Based Number,Direct Purchase Number,Tricare Number
2018,217780,178350,34846,8537
2018,179546,149196,25888,7549
2018,60097,48546,10067,2647
2018,44514,39142,4122,1849
2018,13555,11924,1127,723
2018,534,478,55,19
2018,37700,28677,8904,969
2018,171563,139718,28486,6535
2018,145560,117976,24720,5645
2018,23705,20147,2845,1055
2018,14456,11715,2617,375
2018,29749,24934,4274,1008
2018,190109,164501,22354,6663
2018,47817,41980,4521,1955
2018,6382,5612,500,387
2018,7293,6404,646,346
2018,15038,13312,1407,533
2018,19104,16653,1968,690
2018,142291,122521,17833,4707
2018,20492,17278,2833,911
2018,29084,25418,3200,1118
2018,30252,26707,3254,837
2018,62462,53118,8546,1842
2018,27671,13849,12492,1874
2018,107726,88629,16634,4509
2018,110053,89721,18212,4028
2018,192111,158180,29494,7963
2018,25668,20170,5353,574
2018,14275,11380,2672,410
2018,11393,8790,2680,164
2018,38378,32339,5980,756
2018,49126,41467,7412,1033
2018,79176,62863,13054,4783
2018,51099,41680,8400,1965
2018,10704,5764,4621,540
2018,28319,19695,7787,1339
2018,36468,28613,6830,1682
2018,34967,29589,4619,1398
2018,28748,25042,3134,1114
2018,20250,17558,2299,733
2018,58324,52089,5555,1734
2018,153467,132196,19034,5119
2018,124941,110375,13304,3634
2018,95296,85968,8177,2629
2018,29645,24407,5127,1005
2018,28526,21821,5729,1485
2018,153467,132196,19034,5119
2018,6907,5401,1289,368
2018,145638,126621,17727,3842
2018,121799,105243,14999,3796
2018,5629,4441,1202,90
2018,28646,24181,4083,800
2018,18423,15916,2130,680
2018,13958,12100,1534,580
2018,34235,29844,4094,970
2018,20908,18763,1955,677
2018,153467,132196,19034,5119
2018,34202,26270,7884,796
2018,8630,7748,933,121
2018,16458,15468,944,294
2018,7003,6577,397,138
2018,58648,54311,3146,2285
2018,217620,178228,34814,8530
2018,8357,5182,2942,405
2018,14352,9116,4814,692
2018,22986,16110,6168,1090
2018,32596,25149,6493,1508
2018,32768,26808,5358,1204
2018,120913,104978,13852,4323
2018,78451,67333,9918,2807
2018,75558,63101,10985,2718
2018,49311,38727,9453,2008
2018,11454,7626,3275,720
2018,3006,1563,1214,284
2018,142291,122521,17833,4707
2018,83769,72682,9059,3569
2018,1882,1416,460,49
2018,12093,10241,1807,263
2018,2201,1865,342,42
2018,42347,36318,6166,784
2018,191539,157857,29736,7457
2018,66355,54675,10333,2645
2018,125185,103182,19403,4811
2018,26240,20493,5110,1080
